"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\RerunWorkflowRequest.java","3","21","The class 'RerunWorkflowRequest' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=10)","Design","DataClass"
"1","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\SkipTaskRequest.java","3","24","The class 'SkipTaskRequest' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=8)","Design","DataClass"
"1","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\SubWorkflowParams.java","3","28","The class 'SubWorkflowParams' is suspected to be a Data Class (WOC=27.273%, NOPA=0, NOAM=8, WMC=19)","Design","DataClass"
"1","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\WorkflowDef.java","3","40","Possible God Class (WMC=53, ATFD=17, TCC=6.613%)","Design","GodClass"
"2","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\WorkflowDef.java","3","328","The method 'getNextTask(String)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\WorkflowTask.java","3","40","Possible God Class (WMC=112, ATFD=27, TCC=2.634%)","Design","GodClass"
"2","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\WorkflowTask.java","3","40","The class 'WorkflowTask' has a total cyclomatic complexity of 112 (highest 24).","Design","CyclomaticComplexity"
"3","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\WorkflowTask.java","3","90","Access to field `NON_EMPTY` on foreign value `JsonInclude.Include` (degree 1)","Design","LawOfDemeter"
"4","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\WorkflowTask.java","3","102","Access to field `NON_EMPTY` on foreign value `JsonInclude.Include` (degree 1)","Design","LawOfDemeter"
"5","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\WorkflowTask.java","3","106","Access to field `NON_EMPTY` on foreign value `JsonInclude.Include` (degree 1)","Design","LawOfDemeter"
"6","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\WorkflowTask.java","3","118","Access to field `NON_EMPTY` on foreign value `JsonInclude.Include` (degree 1)","Design","LawOfDemeter"
"7","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\WorkflowTask.java","3","134","Access to field `NON_EMPTY` on foreign value `JsonInclude.Include` (degree 1)","Design","LawOfDemeter"
"8","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\WorkflowTask.java","3","144","Access to field `NON_EMPTY` on foreign value `JsonInclude.Include` (degree 1)","Design","LawOfDemeter"
"9","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\WorkflowTask.java","3","583","The method 'next(String, WorkflowTask)' has a cyclomatic complexity of 24.","Design","CyclomaticComplexity"
"10","com.netflix.conductor.common.metadata.workflow","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\metadata\workflow\WorkflowTask.java","3","583","The method 'next(String, WorkflowTask)' has an NPath complexity of 230, current threshold is 200","Design","NPathComplexity"
"1","com.netflix.conductor.common.run","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\run\ExternalStorageLocation.java","3","25","The class 'ExternalStorageLocation' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=4, WMC=5)","Design","DataClass"
"1","com.netflix.conductor.common.run","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\run\SearchResult.java","3","17","The class 'SearchResult' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=6)","Design","DataClass"
"1","com.netflix.conductor.common.run","C:\User\pavan\Projects\conductor\common\src\main\java\com\netflix\conductor\common\run\TaskSummary.java","3","29","Possible God Class (WMC=52, ATFD=44, TCC=2.323%)","Design","GodClass"
